location,number of likes,number of comments
HirshhornMuseumSculptureGarden,60,3
InternationalSpyMuseum,21975,269
MuseumoftheBible,3187,70
NationalGalleryofArt,2294,120
NationalGeographicMuseum,376,25
NationalMuseumofAfricanAmericanHistoryandCulture,1485,115
NationalMuseumofAmericanHistory,1813,65
NationalPortraitGallery,3691,569
Newseum,5233,142
SmithsonianAmericanArtMuseumRenwickGallery,253,5
SmithsonianNationalAirandSpaceMuseum,12497,223
SmithsonianNationalMuseumofNaturalHistory,15094,246
UnitedStatesBotanicGarden,13630,679
UnitedStatesHolocaustMemorialMuseum,72502,650
